gene
SNORA20
CES2
CNRIP1
ANGPTL4
GLO1
GSDME
FAM3D
YEATS4
TET1
DPYD
CLK2
MCL1
ZNF230
ABCC6
FMO5
TFF2
REG4
KCNH2
DHX38
AGBL5
DNAJC3
SCEL
ABCC8
PRMT1
GSTM2
TM4SF4
