gene
SNORA20
CES2
CNRIP1
ANGPTL4
GLO1
GSDME
FAM3D
YEATS4
TET1
DPYD
CLK2
MCL1
ZNF230
ABCC6
FMO5
TFF2
REG4
KCNH2
DHX38
AGBL5
DNAJC3
SCEL
ABCC8
PRMT1
GSTM2
TM4SF4
PDLIM1
TFF1
CEACAM5
DKK3
SLC38A5
HNF1A
ETF1
RELL2
ABCC10
LYZ
JAG1
NOTCH2NLC
SLC22A3
AKR1B10
SRP9
MUTYH
TYMS
FA2H
GCNT3
LRRC32
RAD18
TSPAN8
MLH1
PLA2G10
